Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link,Date,Stolen,Model Year,Damage Severity
Volkswagen,Touareg,Yes,525.0,192408.0,1.0," Right Front Damage, Impact Light - Front, Impact Light - Rear, Impact Light - Left Side, Selling Registered","8spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006746904/2005-volkswagen-touareg-v6-station-wagon?referringPage=SearchResults,2023-11-11,No,2005,Light
Mazda,Demio,Yes,1200.0,139050.0,0.0," Glass Broken, Ignition Damage, Malicious/Vandalised, Impact Heavy - Front, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006746947/2004-mazda-demio-hatch?referringPage=SearchResults,2023-09-13,Yes,2004,Heavy
Mazda,Demio,Yes,400.0,181055.0,0.0," Glass Broken, Ignition Damage, Right Front Damage, Right Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","5spd Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006747041/2002-mazda-demio-station-wagon?referringPage=SearchResults,2023-11-15,Yes,2002,Light
Nissan,March,Yes,500.0,111965.0,1.0," Ignition Damage, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006747045/2004-nissan-march-hatch?referringPage=SearchResults,2023-09-07,Yes,2004,Light
Nissan,Bluebird,Yes,1100.0,204093.0,0.0," Glass Broken, Ignition Damage, Impact Medium - Right Side, Impact Light - Left Side, Stolen & Recovered, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006747048/2007-nissan-bluebird-sylphy-sedan?referringPage=SearchResults,2023-09-13,Yes,2007,Medium
BMW,120i,Yes,2000.0,108125.0,0.0," Left Side Damage, Impact Light - Front, Impact Light - Left Side, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006747113/2012-bmw-120i-hatch?referringPage=SearchResults,2023-09-13,No,2012,Light
Mazda,Premacy,Yes,300.0,201205.0,0.0," Glass Broken, Ignition Damage, Impact Heavy - Left Side, Vandalised - Interior, Stolen & Recovered, Selling Registered","4spd Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006747360/2002-mazda-premacy-station-wagon?referringPage=SearchResults,2023-09-14,Yes,2002,Heavy
Audi,TT,Yes,600.0,86081.0,1.0," Front Damage, Transmission Failure, Selling Registered","6spd Automatic,",4.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006747432/2006-audi-tt-coup%C3%A9?referringPage=SearchResults,2023-09-20,No,2006,Light
Toyota,Corolla,Yes,1100.0,122543.0,1.0," Rear Damage, Impact Heavy - Rear, Impact Medium - Left Side, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006747439/2010-toyota-corolla-1-8p-gx-hatch-5-4a-hatch?referringPage=SearchResults,2023-09-13,No,2010,Heavy
Toyota,Vitz,Yes,450.0,247556.0,0.0," Interior Damage, Vandalised - Interior, Impact Light - Right Side, Stolen & Recovered, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006747440/2001-toyota-vitz-hatch?referringPage=SearchResults,2023-09-10,Yes,2001,Light
Volkswagen,Beetle,Yes,300.0,202122.0,0.0," Front Damage, Interior Damage, Right Front Damage, Impact Light - Front, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006747453/2000-volkswagen-beetle-sedan?referringPage=SearchResults,2023-09-10,No,2000,Light
Nissan,Tiida,Yes,600.0,193403.0,1.0," Stolen & Recovered, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006747456/2011-nissan-tiida-latio-sedan?referringPage=SearchResults,2023-09-05,Yes,2011,Light
Mazda,Atenza,Yes,500.0,197881.0,0.0," Interior Damage, Right Side Damage, Stolen & Recovered, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006747483/2003-mazda-atenza-station-wagon?referringPage=SearchResults,2023-09-14,Yes,2003,Light
Honda,Accord,Yes,950.0,215007.0,2.0," Right Front Damage, Selling Registered","5spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006747591/2005-honda-accord-eurol-2-4-4d-sed-5a-sedan?referringPage=SearchResults,2023-09-09,No,2005,Light
Mazda,Demio,Yes,200.0,198264.0,0.0," Glass Broken, Ignition Damage, Stolen & Recovered, Selling Registered","5spd Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006747674/2002-mazda-demio-hatch?referringPage=SearchResults,2023-09-14,Yes,2002,Light
Honda,Civic,Yes,875.0,227809.0,2.0," Right Side Damage, Selling Registered","5spd Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006747675/2004-honda-civic-vtx-1-7-5d-hb-5m-hatch?referringPage=SearchResults,2023-09-23,No,2004,Light
Toyota,Caldina,Yes,4000.0,118646.0,3.0," Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006747868/2005-toyota-caldina-station-wagon?referringPage=SearchResults,2023-09-06,Yes,2005,Light
Toyota,Prius,Yes,700.0,194902.0,1.0," Right Side Damage, Impact Light - Right Side, Selling Registered","CVT,",5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000006747928/2007-toyota-prius-hybrid-hatch?referringPage=SearchResults,2023-09-12,No,2007,Light
Audi,A3,Yes,700.0,171255.0,0.0," Front Damage, Interior Damage, Selling Registered","5spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006747975/2006-audi-a3-hatch?referringPage=SearchResults,2023-09-12,No,2006,Light
Nissan,Dualis,Yes,1900.0,153255.0,0.0," Interior Damage, Stolen & Recovered, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006748022/2010-nissan-dualis-hatch?referringPage=SearchResults,2023-09-13,Yes,2010,Light
Mazda,MPV,Yes,800.0,172460.0,0.0," Left Front Damage, Impact Light - Left Side, Suspension Damage, Selling Registered","Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006748023/2006-mazda-mpv-station-wagon?referringPage=SearchResults,2023-09-13,No,2006,Light
Honda,Accord,Yes,1000.0,148290.0,0.0," Glass Broken, Interior Damage, Ignition Damage, Right Side Damage, Impact Light - Right Side, Stolen & Recovered, Selling Registered","5spd Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006748030/2002-honda-accord-sedan?referringPage=SearchResults,2023-09-13,Yes,2002,Light
Suzuki,VZR,Yes,2000.0,97840.0,1.0," Impact Medium - Right Side, Selling Registered","Manual,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006748061/2007-suzuki-vzr-1800k7-boulevardm10-motorcycle?referringPage=SearchResults,2023-10-01,No,2007,Medium
Nissan,Bluebird,Yes,925.0,98504.0,0.0," Interior Damage, Ignition Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006748063/2004-nissan-bluebird-sylphy-sedan?referringPage=SearchResults,2023-09-10,Yes,2004,Light
Nissan,Tiida,Yes,1450.0,148383.0,0.0," Interior Damage, Left Rear Damage, Right Front Damage, Impact Medium - Right Side, Stolen & Recovered, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006748117/2006-nissan-tiida-hatch?referringPage=SearchResults,2023-09-20,Yes,2006,Medium
Toyota,Raum,Yes,1500.0,112275.0,1.0," Left Rear Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006748407/2004-toyota-raum-station-wagon?referringPage=SearchResults,2023-09-17,No,2004,Light
Honda,Civic,Yes,400.0,205532.0,1.0, Selling Registered,"Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006748425/2008-honda-civic-sedan?referringPage=SearchResults,2023-09-10,No,2008,Light
Nissan,Sunny,Yes,475.0,159664.0,0.0," Glass Broken, Interior Damage, Impact Heavy - Left Side, Vandalised - Interior, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006748426/1996-nissan-sunny-ex-sedan?referringPage=SearchResults,2023-09-17,Yes,1996,Heavy
Daihatsu,Sirion,Yes,400.0,225194.0,1.0," Right Front Damage, Right Side Damage, Impact Heavy - Front, Impact Medium - Right Side, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006748633/2006-daihatsu-sirion-1-3p-hatch-4a-hatch?referringPage=SearchResults,2023-09-21,No,2006,Heavy
Toyota,Wish,Yes,900.0,138757.0,0.0," Interior Damage, Ignition Damage, Stolen & Recovered, Selling Registered","Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006748635/2004-toyota-wish-multi-purpose-vehicle?referringPage=SearchResults,2023-09-20,Yes,2004,Light
Nissan,Caravan,Yes,500.0,321823.0,1.0," Right Rear Damage, Impact Heavy - Rear, Selling Registered","4spd Automatic,",3.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006748636/2004-nissan-caravan-van?referringPage=SearchResults,2023-09-19,No,2004,Heavy
PGO,Ligero,Yes,100.0,15981.0,1.0," Left Front Damage, Right Front Damage, Impact Heavy - Front, Selling Registered","Automatic,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006748693/2022-pgo-ligero-50-scooter?referringPage=SearchResults,2023-09-16,No,2022,Heavy
Nissan,Tiida,Yes,625.0,167893.0,0.0," Glass Broken, Interior Damage, Ignition Damage, Left Side Damage, Right Front Damage, Impact Heavy - Rear, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006748799/2005-nissan-tiida-latio-sedan?referringPage=SearchResults,2023-10-28,Yes,2005,Heavy
Nissan,March,Yes,1225.0,105778.0,1.0," Front Damage, Impact Light - Left Side, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006748892/2007-nissan-march-hatch?referringPage=SearchResults,2023-10-01,No,2007,Light
Toyota,Raum,Yes,950.0,83874.0,0.0," Glass Broken, Ignition Damage, Left Side Damage, Right Front Damage, Impact Heavy - Rear, Impact Heavy - Left Side, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006748896/2005-toyota-raum-hatch?referringPage=SearchResults,2023-09-13,Yes,2005,Heavy
Toyota,Ractis,Yes,450.0,243428.0,0.0," Left Front Damage, Left Side Damage, Right Side Damage, Selling Registered",,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006748968/2005-toyota-ractis-hatch?referringPage=SearchResults,2023-09-14,No,2005,Light
Mazda,Verisa,Yes,1400.0,135725.0,1.0," Left Side Damage, Impact Light - Left Side, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006749046/2005-mazda-verisa-hatch?referringPage=SearchResults,2023-10-25,No,2005,Light
Peugeot,307,Yes,200.0,253213.0,1.0," Left Rear Damage, Malicious/Vandalised, Impact Heavy - Left Side, Impact Medium - Rear, Impact Light - Front, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006749093/2002-peugeot-307-xsp-2-0-hatch?referringPage=SearchResults,2023-09-14,Yes,2002,Heavy
Toyota,Corona,Yes,750.0,357359.0,3.0," Front Damage, Impact Light - Front, Impact Light - Right Side, Selling Registered","5spd Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006749094/1994-toyota-corona-sedan?referringPage=SearchResults,2023-09-24,No,1994,Light
Toyota,Markx,Yes,700.0,185551.0,0.0," Ignition Damage, Vandalised - Interior, Impact Light - Front, Impact Light - Left Side, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006749133/2005-toyota-markx-sedan?referringPage=SearchResults,2023-09-12,Yes,2005,Light
Mazda,Demio,Yes,2050.0,101709.0,1.0," Glass Broken, Ignition Damage, Right Rear Damage, Right Side Damage, Vandalised - Interior, Impact Light - Left Side, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006749189/2005-mazda-demio-hatch?referringPage=SearchResults,2023-09-27,Yes,2005,Light
Nissan,Primera,Yes,300.0,223923.0,0.0," Ignition Damage, Malicious/Vandalised, Dismantled - Interior, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006749213/2001-nissan-primera-2-0-gxe-sedan-auto-sedan?referringPage=SearchResults,2023-09-14,Yes,2001,Light
Toyota,Corolla 1.8P GLX LBA,Yes,275.0,325532.0,2.0," Glass Broken, Interior Damage, Ignition Damage, Malicious/Vandalised, Right Rear Damage, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006749215/1995-toyota-corolla-1-8p-glx-lba-hatch?referringPage=SearchResults,2023-09-09,Yes,1995,Light
Toyota,Ceres,Yes,1000.0,183950.0,0.0," Left Front Damage, Impact Light - Front, Impact Light - Left Side, Selling Registered","Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006749376/1998-toyota-ceres-corolla-sedan?referringPage=SearchResults,2023-09-17,No,1998,Light
Mitsubishi,Challenger,Yes,500.0,291312.0,1.0," Front Damage, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006749423/2006-mitsubishi-challenger-4wd-3-0p-5d-exceed-station-wagon?referringPage=SearchResults,2023-09-19,No,2006,Light
Volkswagen,Polo,Yes,600.0,90678.0,0.0," Front Damage, Impact Light - Roof, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006749432/2007-volkswagen-polo-1-4-auto-hatch?referringPage=SearchResults,2023-09-12,No,2007,Light
Nissan,Tiida,Yes,1400.0,148807.0,0.0," Glass Broken, Ignition Damage, Left Front Damage, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006749510/2005-nissan-tiida-hatch?referringPage=SearchResults,2023-09-13,Yes,2005,Light
Audi,TT,Yes,800.0,144050.0,1.0," Transmission Failure, Under Body Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006749566/2003-audi-tt-sedan?referringPage=SearchResults,2023-11-01,No,2003,Light
Nissan,Tiida,Yes,1800.0,184835.0,0.0," Left Side Damage, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006749659/2008-nissan-tiida-hatch?referringPage=SearchResults,2023-09-12,No,2008,Light
Toyota,Caldina,Yes,500.0,301591.0,0.0," Glass Broken, Ignition Damage, Left Side Damage, Right Front Damage, Right Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006749778/2003-toyota-caldina-station-wagon?referringPage=SearchResults,2023-09-19,Yes,2003,Light
Holden,Cruze,Yes,575.0,264935.0,1.0," Right Rear Damage, Impact Medium - Right Side, Selling Registered","6spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006749895/2013-holden-cruze-cd-wgn-1-8-at-station-wagon?referringPage=SearchResults,2023-09-17,No,2013,Medium
Nissan,Tiida,Yes,2000.0,112867.0,0.0," Glass Broken, Ignition Damage, Rear Damage, Impact Light - Left Side, Impact Light - Right Side, Stolen & Recovered, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006750339/2005-nissan-tiida-hatch?referringPage=SearchResults,2023-11-22,Yes,2005,Light
Toyota,Markx,Yes,900.0,114122.0,1.0," Left Side Damage, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006750485/2005-toyota-markx-250g-sedan?referringPage=SearchResults,2023-09-13,Yes,2005,Light
Subaru,Forester,Yes,475.0,290485.0,1.0," Front Damage, Interior Damage, Impact Light - Front, Selling Registered","5spd Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006750592/2002-subaru-forester-abs-station-wagon?referringPage=SearchResults,2023-09-17,No,2002,Light
Mitsubishi,Lancer,Yes,525.0,225618.0,0.0," Front Damage, Rear Damage, Right Rear Damage, Right Side Damage, Selling Registered","5spd Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006750598/2004-mitsubishi-lancer-2-0p-vr-x-sedan-m-sedan?referringPage=SearchResults,2023-10-08,No,2004,Light
Nissan,Tiida,Yes,450.0,259391.0,0.0," Glass Broken, Interior Damage, Ignition Damage, Left Front Damage, Left Rear Damage, Malicious/Vandalised, Right Front Damage, Right Rear Damage, Impact Light - Front, Impact Light - Left Side, Impact Light - Right Side, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006750913/2006-nissan-tiida-hatch?referringPage=SearchResults,2023-09-14,Yes,2006,Light
Fiat,500,Yes,2650.0,21920.0,1.0," Front Damage, Impact Light - Front, Selling Registered","5spd Automatic,",4.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006750914/2016-fiat-500-sport-dl-1-4p-5am-h-hatch?referringPage=SearchResults,2023-09-13,No,2016,Light
Mazda,MPV,Yes,300.0,286359.0,0.0," Left Side Damage, Selling Registered","Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006751262/2004-mazda-mpv-station-wagon?referringPage=SearchResults,2023-09-14,No,2004,Light
Mazda,Demio,Yes,700.0,171600.0,1.0," Front Damage, Glass Broken, Left Side Damage, Selling Registered",,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006751277/2006-mazda-demio-hatch?referringPage=SearchResults,2023-09-27,No,2006,Light
Toyota,Markx,Yes,1000.0,129419.0,0.0," Ignition Damage, Vandalised - Interior, Impact Light - Left Side, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006751304/2005-toyota-markx-250g-sedan?referringPage=SearchResults,2023-09-13,Yes,2005,Light
Suzuki,GN250 E,Yes,475.0,30503.0,1.0, Selling Registered,"Automatic,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006751385/2007-suzuki-gn250-e-motorcycle?referringPage=SearchResults,2023-10-15,No,2007,Light
Mazda,Demio,Yes,1300.0,160844.0,1.0," Glass Broken, Interior Damage, Ignition Damage, Left Side Damage, Vandalised - Interior, Impact Light - Left Side, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006751388/2009-mazda-demio-hatch?referringPage=SearchResults,2023-09-12,Yes,2009,Light
Mazda,323,Yes,500.0,201787.0,1.0," Right Rear Damage, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006751555/1999-mazda-323-protege-limited-1-6-sedan?referringPage=SearchResults,2023-09-17,No,1999,Light
MINI,Cooper,Yes,700.0,131588.0,2.0," Right Front Damage, Selling Registered","5spd Manual,",4.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006751560/2002-mini-cooper-mini-cooper-manual-sedan?referringPage=SearchResults,2023-09-12,No,2002,Light
Suzuki,Swift,Yes,1300.0,157295.0,1.0," Left Side Damage, Impact Light - Left Side, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006751738/2009-suzuki-swift-hatch?referringPage=SearchResults,2023-09-13,No,2009,Light
Toyota,IST,Yes,925.0,128017.0,2.0," Front Damage, Impact Medium - Front, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006751778/2004-toyota-ist-hatch?referringPage=SearchResults,2023-09-16,No,2004,Medium
Toyota,Caldina,Yes,500.0,248525.0,0.0," Glass Broken, Left Front Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006751795/2003-toyota-caldina-station-wagon?referringPage=SearchResults,2023-10-07,No,2003,Light
Toyota,IST,Yes,1525.0,113892.0,1.0," Right Rear Damage, Impact Medium - Rear, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006751989/2004-toyota-ist-hatch?referringPage=SearchResults,2023-09-17,No,2004,Medium
Mitsubishi,Airtrek,Yes,2125.0,164326.0,0.0," Interior Damage, Impact Light - Right Side, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006752082/2001-mitsubishi-airtrek-2-0p-2wd-wagon-a-station-wagon?referringPage=SearchResults,2023-09-15,No,2001,Light
Toyota,Corolla,Yes,700.0,260272.0,0.0," Left Side Damage, Impact Medium - Left Side, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006752465/2011-toyota-corolla-1-8p-gx-hatch-5-4a-hatch?referringPage=SearchResults,2023-09-20,No,2011,Medium
Suzuki,Grand Vitara,Yes,1100.0,118761.0,1.0," Left Side Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006752604/2005-suzuki-grand-vitara-wjlxa2-2-7-5dr-station-wagon?referringPage=SearchResults,2023-09-20,No,2005,Light
Volkswagen,Golf,Yes,1500.0,157130.0,1.0," Right Front Damage, Impact Light - Right Side, Selling Registered","Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006752932/2003-volkswagen-golf-r32-hatch?referringPage=SearchResults,2023-09-20,No,2003,Light
Holden,Captiva,Yes,450.0,293440.0,1.0," Impact Light - Right Side, Stolen & Recovered, Suspension Damage, Selling Registered","Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006752998/2007-holden-captiva-lx-3-2l-v6-auto-station-wagon?referringPage=SearchResults,2023-09-14,Yes,2007,Light
Mazda,Premacy,Yes,500.0,112069.0,1.0," Left Side Damage, Impact Medium - Left Side, Selling Registered","Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006753049/2005-mazda-premacy-station-wagon?referringPage=SearchResults,2023-09-15,No,2005,Medium
Mazda,Atenza,Yes,550.0,179618.0,0.0," Ignition Damage, Left Front Damage, Vandalised - Interior, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006753193/2002-mazda-atenza-sedan?referringPage=SearchResults,2023-09-20,Yes,2002,Light
Mitsubishi,Colt,Yes,225.0,129347.0,0.0," Front Damage, Left Front Damage, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006753194/2003-mitsubishi-colt-1-5p-5dr-hatch-hatch?referringPage=SearchResults,2023-09-17,No,2003,Light
Suzuki,Swift,Yes,700.0,162449.0,0.0," Engine Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006753547/2009-suzuki-swift-glxa-1-5-5dr-hatch?referringPage=SearchResults,2023-09-27,No,2009,Light
Subaru,Legacy,Yes,500.0,262428.0,0.0," Interior Damage, Ignition Damage, Right Side Damage, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006753571/2006-subaru-legacy-station-wagon?referringPage=SearchResults,2023-09-19,Yes,2006,Light
Mazda,Demio,Yes,550.0,170584.0,0.0," Ignition Damage, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006753614/2005-mazda-demio-hatch?referringPage=SearchResults,2023-09-20,Yes,2005,Light
Toyota,Marino,Yes,1025.0,98451.0,0.0," Right Front Damage, Impact Medium - Front, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006753633/1996-toyota-marino-sprinter-sedan?referringPage=SearchResults,2023-09-24,No,1996,Medium
Mazda,Familia,Yes,500.0,216357.0,0.0," Engine Damage, Ignition Damage, No Keys, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006753888/2000-mazda-familia-station-wagon?referringPage=SearchResults,2023-09-21,Yes,2000,Light
Mitsubishi,Colt,Yes,225.0,189382.0,0.0," Glass Broken, Interior Damage, Ignition Damage, Left Side Damage, Stolen & Recovered, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006753940/2005-mitsubishi-colt-plus-sport-hatch?referringPage=SearchResults,2023-10-08,Yes,2005,Light
Nissan,Note,Yes,925.0,150382.0,1.0," Left Front Damage, Left Side Damage, Impact Heavy - Front, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006753944/2005-nissan-note-station-wagon?referringPage=SearchResults,2023-10-01,No,2005,Heavy
Mazda,Tribute,Yes,525.0,165055.0,1.0," Rear Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006754036/2001-mazda-tribute-station-wagon?referringPage=SearchResults,2023-09-24,No,2001,Light
Nissan,Tiida,Yes,1800.0,82071.0,0.0," Interior Damage, Ignition Damage, Selling Registered","5spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006754114/2009-nissan-tiida-hatch?referringPage=SearchResults,2023-10-03,Yes,2009,Light
Honda,fit,Yes,1150.0,114549.0,1.0," Left Front Damage, Left Side Damage, Impact Medium - Front, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006754135/2010-honda-fit-hatch?referringPage=SearchResults,2023-09-20,No,2010,Medium
Toyota,Spacio,Yes,475.0,127050.0,1.0," Left Side Damage, Impact Heavy - Front, Selling Registered","Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006754154/2002-toyota-spacio-x-g-edition-station-wagon?referringPage=SearchResults,2023-09-17,No,2002,Heavy
Peugeot,3008,Yes,1650.0,125926.0,0.0," Rear Damage, Impact Medium - Rear, Impact Medium - Left Side, Selling Registered","6spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006754271/2014-peugeot-3008-active-1-6p-6at-ha--hatch?referringPage=SearchResults,2023-12-28,No,2014,Medium
Toyota,IST,Yes,925.0,117357.0,2.0," Right Front Damage, Impact Medium - Front, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006754562/2004-toyota-ist-hatch?referringPage=SearchResults,2023-09-17,No,2004,Medium
Toyota,Markx,Yes,1050.0,131012.0,1.0," Glass Broken, Ignition Damage, Left Rear Damage, Vandalised - Interior, Impact Medium - Left Side, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006754614/2007-toyota-markx-sedan?referringPage=SearchResults,2023-09-20,Yes,2007,Medium
Nissan,Cefiro,Yes,225.0,269145.0,0.0," Glass Broken, Ignition Damage, Left Rear Damage, Vandalised - Interior, Impact Medium - Left Side, Stolen & Recovered, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006754618/1998-nissan-cefiro-25-cruising-station-wagon?referringPage=SearchResults,2023-09-21,Yes,1998,Medium
Ford,Courier,Yes,2000.0,352346.0,0.0," Front Damage, Ignition Damage, Stolen & Recovered, Selling Registered","5spd Manual,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006754656/2005-ford-courier-xlx-crew-cab-tu-ton-utility?referringPage=SearchResults,2023-09-20,Yes,2005,Light
