Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link,Date,Stolen,Model Year,Damage Severity
Subaru,Outback,Yes,850.0,150930.0,0.0," Front Damage, Right Side Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006599119/2010-subaru-outback-station-wagon?referringPage=SearchResults,2023-07-25,No,2010,Light
Toyota,RAV4,Yes,600.0,164212.0,0.0," Left Side Damage, Selling Registered","Automatic,",4.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006599406/1998-toyota-rav4-j-station-wagon?referringPage=SearchResults,2023-05-27,No,1998,Light
Ford,Focus,Yes,650.0,324360.0,0.0," Glass Broken, Ignition Damage, Malicious/Vandalised, Right Rear Damage, Vandalised - Interior, Impact Light - Right Side, Selling Registered","5spd Manual,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006601195/2010-ford-focus-1-8td-wagon-station-wagon?referringPage=SearchResults,2023-07-30,Yes,2010,Light
Nissan,Tiida,Yes,600.0,153517.0,0.0," Ignition Damage, Left Front Damage, Left Rear Damage, Right Front Damage, Right Rear Damage, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006605601/2005-nissan-tiida-latio-sedan?referringPage=SearchResults,2023-06-28,Yes,2005,Light
Mazda,Premacy,Yes,225.0,211034.0,0.0," Ignition Damage, Right Rear Damage, Vandalised - Entire Vehicle, Stolen & Recovered, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006605879/2002-mazda-premacy-hatch?referringPage=SearchResults,2023-07-29,Yes,2002,Light
Mazda,Familia,Yes,200.0,199408.0,0.0," Front Damage, Rear Damage, Vandalised - Entire Vehicle, Impact Light - Front, Stolen & Recovered, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006605903/1999-mazda-familia-type-r-station-wagon?referringPage=SearchResults,2023-07-29,Yes,1999,Light
Harley-Davidson,Touring,Yes,15250.0,11.0,1.0," Left Side Damage, Right Side Damage, Selling Registered","Manual,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006605909/2021-harley-davidson-touring-21-road-king-specia-motorcycle?referringPage=SearchResults,2023-06-24,No,2021,Light
Toyota,Markx,Yes,700.0,148437.0,1.0," Glass Broken, Ignition Damage, Impact Light - Left Side, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006608865/2006-toyota-markx-sedan?referringPage=SearchResults,2023-09-12,Yes,2006,Light
Nissan,Bluebird,Yes,1000.0,149914.0,0.0," Front Damage, Glass Broken, Ignition Damage, Left Rear Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006611882/2007-nissan-bluebird-sylphy-sedan?referringPage=SearchResults,2023-09-06,Yes,2007,Light
Mazda,Premacy,Yes,1250.0,140942.0,0.0," Front Damage, Impact Heavy - Front, Selling Registered","Automatic,",6.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006612198/2005-mazda-premacy-station-wagon?referringPage=SearchResults,2023-07-05,No,2005,Heavy
Nissan,Teana,Yes,1800.0,162724.0,, Selling Registered,"Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006613821/2006-nissan-teana-sedan?referringPage=SearchResults,2023-05-27,No,2006,Light
Kawasaki,ex,Yes,800.0,20076.0,0.0," Ignition Damage, Impact Light - Left Side, Stolen & Recovered, Selling Registered","Manual,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006615393/2014-kawasaki-ex-300a-motorcycle?referringPage=SearchResults,2023-08-17,Yes,2014,Light
Hyundai,Getz,Yes,950.0,201101.0,," Front Damage, Selling Registered","3spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006615954/2009-hyundai-getz-getz-hatch?referringPage=SearchResults,2023-08-02,No,2009,Light
BMW,318i,Yes,625.0,127542.0,1.0," Front Damage, Glass Broken, Left Front Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006616070/1998-bmw-318i-sedan-sedan?referringPage=SearchResults,2023-07-02,No,1998,Light
Mazda,Axela,Yes,450.0,226424.0,0.0," Impact Heavy - Front, Dismantled - Interior, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006616506/2008-mazda-axela-hatch?referringPage=SearchResults,2023-08-10,Yes,2008,Heavy
Toyota,Vista,Yes,225.0,289425.0,1.0," Right Side Damage, Selling Registered","Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006616807/1993-toyota-vista-etoile-sedan?referringPage=SearchResults,2023-07-30,No,1993,Light
Mazda,MAZDA6,Yes,650.0,371781.0,0.0," Front Damage, Hail Dmg, Has Key, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006617412/2008-mazda-mazda6-sport-gsx-hatch?referringPage=SearchResults,2023-09-20,No,2008,Light
BMW,530i,Yes,1350.0,119049.0,1.0," Left Rear Damage, Vandalised - Entire Vehicle, Stolen & Recovered, Selling Registered","6spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006617429/2008-bmw-530i-touring?referringPage=SearchResults,2023-08-23,Yes,2008,Light
Audi,TT,Yes,400.0,197564.0,0.0," No Keys, Under Body Damage, Selling Registered","Automatic,",2.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006618200/2000-audi-tt-quattro-convertible-cabriolet?referringPage=SearchResults,2023-07-12,No,2000,Light
Toyota,Markx,Yes,900.0,219899.0,0.0," Glass Broken, Ignition Damage, Left Side Damage, Rear Damage, Right Front Damage, Impact Medium - Left Side, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006618725/2005-toyota-markx-250-g-sedan?referringPage=SearchResults,2023-08-02,Yes,2005,Medium
Nissan,Primera,Yes,1050.0,198469.0,0.0," Ignition Damage, Right Side Damage, Impact Medium - Front, Impact Light - Right Side, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006619810/1998-nissan-primera-station-wagon?referringPage=SearchResults,2023-07-21,Yes,1998,Medium
Subaru,Legacy,Yes,300.0,289962.0,1.0," Interior Damage, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006620201/2002-subaru-legacy-gt30-station-wagon?referringPage=SearchResults,2023-06-23,Yes,2002,Light
Holden,Adventra,Yes,525.0,346385.0,1.0," Right Side Damage, Impact Light - Front, Impact Light - Rear, Impact Light - Right Side, Selling Registered","5spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006622226/2005-holden-adventra-sx6-station-wagon?referringPage=SearchResults,2023-07-29,No,2005,Light
Mazda,Familia,Yes,275.0,235855.0,0.0," Front Damage, Glass Broken, Interior Damage, Left Side Damage, Impact Light - Front, Stolen & Recovered, Selling Registered","5spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006623753/2002-mazda-familia-hatch?referringPage=SearchResults,2023-09-17,Yes,2002,Light
Toyota,Avensis,Yes,600.0,183160.0,1.0," Right Side Damage, Impact Medium - Right Side, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006624560/2005-toyota-avensis-sedan?referringPage=SearchResults,2023-05-27,No,2005,Medium
Mitsubishi,Lancer,Yes,700.0,222296.0,1.0," Right Front Damage, Impact Light - Front, Impact Light - Left Side, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006626257/2000-mitsubishi-lancer-mx-sedan?referringPage=SearchResults,2023-07-15,No,2000,Light
Suzuki,Grand Vitara,Yes,500.0,250655.0,0.0," Front Damage, Glass Broken, Ignition Damage, Impact Light - Front, Impact Light - Rear, Impact Light - Left Side, Impact Light - Right Side, Stolen & Recovered, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006630061/2000-suzuki-grand-vitara-wjlx2-2-5-5dr-station-wagon?referringPage=SearchResults,2023-05-27,Yes,2000,Light
Mazda,Atenza,Yes,1050.0,150493.0,0.0," Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006631269/2007-mazda-atenza-station-wagon?referringPage=SearchResults,2023-09-13,Yes,2007,Light
Nissan,Tiida,Yes,950.0,206950.0,0.0," Glass Broken, Interior Damage, Ignition Damage, Rear Damage, Vandalised - Interior, Impact Light - Rear, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006635014/2005-nissan-tiida-hatch?referringPage=SearchResults,2023-08-09,Yes,2005,Light
Subaru,Legacy,Yes,600.0,249965.0,0.0," Interior Damage, Ignition Damage, Left Side Damage, Roof Damage, Vandalised - Interior, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006635923/2003-subaru-legacy-station-wagon?referringPage=SearchResults,2023-08-31,Yes,2003,Light
Honda,Torneo,Yes,600.0,180008.0,1.0," Ignition Damage, Vandalised - Interior, Impact Light - Left Side, Stolen & Recovered, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006635930/1999-honda-torneo-lev-sedan?referringPage=SearchResults,2023-05-31,Yes,1999,Light
Toyota,Passo,Yes,925.0,142850.0,1.0," Front Damage, Left Front Damage, Left Side Damage, Impact Medium - Left Side, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006636312/2004-toyota-passo-hatch?referringPage=SearchResults,2023-08-06,No,2004,Medium
Subaru,Legacy,Yes,675.0,202742.0,1.0," Interior Damage, Ignition Damage, Stolen & Recovered, Selling Registered","5spd Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006636487/2001-subaru-legacy-sedan?referringPage=SearchResults,2023-07-15,Yes,2001,Light
Honda,Odyssey,Yes,400.0,260869.0,1.0," Rear Damage, Impact Medium - Front, Selling Registered","5spd Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006636675/2005-honda-odyssey-station-wagon?referringPage=SearchResults,2023-06-15,No,2005,Medium
Nissan,Tiida,Yes,950.0,128900.0,0.0," Glass Broken, Ignition Damage, Impact Light - Left Side, Stolen & Recovered, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006636965/2005-nissan-tiida-hatch?referringPage=SearchResults,2023-05-31,Yes,2005,Light
Nissan,Pulsar,Yes,225.0,259519.0,1.0," Right Front Damage, Impact Heavy - Front, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006637039/2005-nissan-pulsar-1-8-hatch-auto-hatch?referringPage=SearchResults,2023-10-01,No,2005,Heavy
Toyota,Corolla,Yes,800.0,269699.0,1.0," Right Front Damage, Impact Medium - Right Side, Impact Light - Left Side, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006637471/2003-toyota-corolla-1-8p-gl-sedan-4a-sedan?referringPage=SearchResults,2023-05-31,No,2003,Medium
Mazda,626,Yes,475.0,248981.0,0.0," Glass Broken, Ignition Damage, Left Side Damage, Malicious/Vandalised, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006637552/2001-mazda-626-sedan-glx-2-0-auto-sedan?referringPage=SearchResults,2023-08-27,Yes,2001,Light
Toyota,Vitz,Yes,650.0,196502.0,0.0," Ignition Damage, Left Front Damage, Left Rear Damage, Left Side Damage, Right Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006637666/1999-toyota-vitz-hatch?referringPage=SearchResults,2023-07-02,Yes,1999,Light
Volkswagen,Golf,Yes,425.0,189347.0,1.0," Front Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006638323/2008-volkswagen-golf-90kw-tsi-7dsg-hatch?referringPage=SearchResults,2023-07-01,No,2008,Light
Mazda,Mazda 6,Yes,700.0,285926.0,1.0," Front Damage, Left Front Damage, Right Front Damage, Impact Medium - Left Side, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006638377/2004-mazda-mazda-6-sedan?referringPage=SearchResults,2023-05-27,No,2004,Medium
Toyota,Corolla,Yes,675.0,295159.0,1.0," Glass Broken, Interior Damage, Ignition Damage, Impact Medium - Left Side, Selling Registered","5spd Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006638522/1997-toyota-corolla-1-6p-gl-hback5-5m-hatch?referringPage=SearchResults,2023-06-17,Yes,1997,Medium
Nissan,Tiida,Yes,1050.0,140979.0,2.0," Engine Damage, Ignition Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006639369/2006-nissan-tiida-latio-sedan?referringPage=SearchResults,2023-05-27,Yes,2006,Light
Mitsubishi,Lancer,Yes,675.0,213598.0,0.0," Interior Damage, Ignition Damage, Impact Light - Right Side, Stolen & Recovered, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006639542/2001-mitsubishi-lancer-station-wagon?referringPage=SearchResults,2023-07-15,Yes,2001,Light
Toyota,Auris,Yes,950.0,131500.0,1.0," Right Rear Damage, Impact Heavy - Right Side, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006639622/2008-toyota-auris-hatch?referringPage=SearchResults,2023-05-27,No,2008,Heavy
Honda,Edix,Yes,500.0,189404.0,1.0," Dismantled - Interior, Stolen & Recovered, Selling Registered","Automatic,",6.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006639856/2004-honda-edix-station-wagon?referringPage=SearchResults,2023-11-12,Yes,2004,Light
Mazda,MAZDA2,Yes,600.0,252751.0,0.0," Left Side Damage, Malicious/Vandalised, Roof Damage, Right Side Damage, Vandalised - Entire Vehicle, Impact Light - Rear, Impact Light - Roof, Selling Registered","5spd Manual,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006640086/2010-mazda-mazda2-classic-5dr-1-5-m5-hatch?referringPage=SearchResults,2023-07-04,Yes,2010,Light
Toyota,Raum,Yes,1900.0,80788.0,1.0," Front Damage, Interior Damage, Left Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006640093/2007-toyota-raum-hatch?referringPage=SearchResults,2023-05-27,Yes,2007,Light
Mitsubishi,Grandis,Yes,300.0,266797.0,1.0," Front Damage, Selling Registered","4spd Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006640126/2003-mitsubishi-grandis-station-wagon?referringPage=SearchResults,2023-05-27,No,2003,Light
Honda,CRV,Yes,600.0,238762.0,1.0," Left Side Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006640136/2002-honda-crv-station-wagon?referringPage=SearchResults,2023-06-21,No,2002,Light
Volkswagen,Golf,Yes,350.0,288288.0,1.0," Front Damage, Impact Heavy - Front, Selling Registered","6spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006640137/2004-volkswagen-golf-2-0-fsi-tip-hatch?referringPage=SearchResults,2023-05-27,No,2004,Heavy
Subaru,Legacy,Yes,725.0,204251.0,0.0," Front Damage, Ignition Damage, Rear Damage, Right Side Damage, Dismantled - Interior, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006640168/1998-subaru-legacy-station-wagon?referringPage=SearchResults,2023-08-13,Yes,1998,Light
Mazda,Demio,Yes,400.0,178157.0,1.0," Front Damage, Impact Medium - Front, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006640652/2012-mazda-demio-hatch?referringPage=SearchResults,2023-05-27,No,2012,Medium
Mazda,Axela,Yes,600.0,198734.0,1.0," Right Rear Damage, Right Side Damage, Impact Medium - Right Side, Suspension Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006640986/2006-mazda-axela-hatch?referringPage=SearchResults,2023-05-27,No,2006,Medium
Honda,Ascot,Yes,250.0,176402.0,1.0," Front Damage, Impact Light - Front, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006641106/1994-honda-ascot-sedan?referringPage=SearchResults,2023-09-24,No,1994,Light
Mazda,Demio,Yes,925.0,140193.0,0.0," Glass Broken, Ignition Damage, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006641129/2007-mazda-demio-hatch?referringPage=SearchResults,2023-07-02,Yes,2007,Light
Mercedes-Benz,C200,Yes,3250.0,86520.0,1.0," Right Side Damage, Impact Heavy - Right Side, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006641365/2009-mercedes-benz-c200-sedan?referringPage=SearchResults,2023-05-27,No,2009,Heavy
Honda,Accord,Yes,750.0,235286.0,0.0," Front Damage, Ignition Damage, Left Rear Damage, Dismantled - Interior, Stolen & Recovered, Selling Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006641489/2002-honda-accord-sedan?referringPage=SearchResults,2023-05-27,Yes,2002,Light
Mazda,MAZDA6,Yes,375.0,215513.0,1.0," Rear Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006641620/2005-mazda-mazda6-wagon-gsx-2-3-5-aut-station-wagon?referringPage=SearchResults,2023-08-26,No,2005,Light
Toyota,Previa,Yes,1850.0,251205.0,0.0," Left Front Damage, Right Front Damage, Impact Heavy - Left Side, Selling Registered","4spd Automatic,",8.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006641675/2010-toyota-previa-2-4p-wagon-4a-station-wagon?referringPage=SearchResults,2023-08-30,No,2010,Heavy
Toyota,Estima,Yes,850.0,93811.0,1.0," Engine Damage, Impact Light - Front, Stolen & Recovered, Selling Registered","5spd Automatic,",8.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006641774/2000-toyota-estima-station-wagon?referringPage=SearchResults,2023-09-05,Yes,2000,Light
