Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Toyota,Aqua,No,$300,"192,439",1," Front Damage, Left Front Damage, Left Side Damage, Right Front Damage, Right Rear Damage, Right Side Damage, Impact Heavy - Front, Dismantled - Interior, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000006620029/2015-toyota-aqua-hybrid-hatch?referringPage=SearchResults
Toyota,Aqua,No,$250,"95,088",0," Fire Damage, Fire - Entire Vehicle, Stolen & Recovered, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000006670024/2013-toyota-aqua-hatch?referringPage=SearchResults
Toyota,Estima,No,$400,"434,639",2," Front Damage, Impact Medium - Front, Impact Light - Left Side, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006680034/2001-toyota-estima-station-wagon?referringPage=SearchResults
Mazda,Axela,No,$500,"150,727",0," Glass Broken, Left Front Damage, Left Rear Damage, Left Side Damage, Roof Damage, Right Front Damage, Rolled, Right Rear Damage, Right Side Damage, Impact Heavy - Front, Salt Water Damage, Water Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006670073/2005-mazda-axela-hatch?referringPage=SearchResults
Toyota,Hiace,No,$300,"283,594",0," Left Front Damage, Selling De-Registered","Manual,",2,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006670078/1987-toyota-hiace-van?referringPage=SearchResults
Subaru,Impreza,No,N/A,"128,764",1," Water Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006680086/2011-subaru-impreza-wrx-sti-hatch?referringPage=SearchResults
Toyota,Avensis,No,$0,N/A,0," Impact Light - Left Side, Stolen & Recovered, Selling Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006620112/2005-toyota-avensis-station-wagon?referringPage=SearchResults
Mitsubishi,Outlander,No,$700,"145,620",1," Front Damage, Glass Broken, Interior Damage, Right Front Damage, Right Rear Damage, Right Side Damage, Water Damage, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006680144/2006-mitsubishi-outlander-station-wagon?referringPage=SearchResults
Subaru,Legacy,Yes,$300,"289,962",1," Interior Damage, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006620201/2002-subaru-legacy-gt30-station-wagon?referringPage=SearchResults
SWIFT,Archway,No,N/A,N/A,0," Under Body Damage, Water Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006650242/2004-swift-archway-caravan?referringPage=SearchResults
ITALJET,Dragster,No,$450,N/A,0," Frame Damaged, Water Damage, Selling De-Registered","Automatic,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006620267/2022-italjet-dragster-200-scooter?referringPage=SearchResults
Ford,Ranger,No,N/A,"22,709",1," Water Damage, Selling De-Registered","6spd Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006660277/2021-ford-ranger-xlt-double-cab-w-sa-dual-cab-utility?referringPage=SearchResults
Nissan,Tiida,Yes,"$1,525","138,762",1," Right Side Damage, Impact Medium - Right Side, Selling Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006680302/2011-nissan-tiida-latio-sedan?referringPage=SearchResults
