Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Nissan,Serena,Yes,$400,"303,030",0," Front Damage, Selling Registered","Automatic,",8,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006880035/1994-nissan-serena-fx-multi-purpose-vehicle?referringPage=SearchResults
Volkswagen,Golf,No,$600,"189,223",0," Right Front Damage, Impact Medium - Front, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970056/2004-volkswagen-golf-2-0-fsi-man-hatch?referringPage=SearchResults
Honda,Insight,No,$500,N/A,0," Airbags Deployed, Right Front Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006960209/2009-honda-insight-hybrid-hatch?referringPage=SearchResults
Mitsubishi,Galant,No,$200,"377,332",0," Engine Damage, Front Damage, Left Rear Damage, Left Side Damage, Right Front Damage, Right Side Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006960210/1999-mitsubishi-galant-2-0-glxi-sedan-sedan?referringPage=SearchResults
Volkswagen,Golf,No,$600,"99,985",0," Left Side Damage, Impact Heavy - Left Side, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970247/2004-volkswagen-golf-hatch?referringPage=SearchResults
PATCHELL,3SH,No,$0,N/A,, Selling Registered,N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006620287/2003-patchell-3sh-mfea-log-trailer?referringPage=SearchResults
MCEWAN,BT201,No,$0,N/A,, Selling Registered,N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006620308/1993-mcewan-bt201-mfea-log-trailer-a---b-logging?referringPage=SearchResults
Mitsubishi,Colt,Yes,$400,"153,502",1," Glass Broken, Ignition Damage, Vandalised - Entire Vehicle, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970312/2004-mitsubishi-colt-1-5p-sport-hatch-a-hatch?referringPage=SearchResults
Mitsubishi,Outlander,No,$600,"179,478",1," Front Damage, Impact Medium - Front, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970317/2005-mitsubishi-outlander-station-wagon?referringPage=SearchResults
Hyundai,Getz,No,$500,"142,748",1," Front Damage, Impact Medium - Front, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970318/2009-hyundai-getz-1-4-5d-a4-hatch?referringPage=SearchResults
Honda,Odyssey,No,$600,N/A,0," Right Front Damage, Right Rear Damage, Selling De-Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970321/2008-honda-odyssey-station-wagon?referringPage=SearchResults
Nissan,Tiida,No,$500,"255,349",1," Frame Damaged, Right Front Damage, Impact Medium - Front, Suspension Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970324/2005-nissan-tiida-hatch?referringPage=SearchResults
Nissan,Tiida,Yes,$600,"142,342",0," Interior Damage, Ignition Damage, Left Front Damage, Right Front Damage, Right Rear Damage, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970329/2006-nissan-tiida-hatch?referringPage=SearchResults
Mazda,Demio,No,$600,"238,013",0," Right Front Damage, Impact Heavy - Front, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970339/2008-mazda-demio-hatch?referringPage=SearchResults
Toyota,Carib,No,$300,"264,215",0," Ignition Damage, Left Rear Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970344/1997-toyota-carib-station-wagon?referringPage=SearchResults
Toyota,Regius,No,N/A,"294,991",0," Right Rear Damage, Impact Heavy - Left Side, Selling De-Registered","Automatic,",3,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970349/2005-toyota-regius-ace-van?referringPage=SearchResults
Honda,Civic,No,$600,N/A,1," Front Damage, Impact Medium - Front, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970354/2005-honda-civic-ferio-sedan?referringPage=SearchResults
Mazda,Axela,No,$600,"71,508",1," Right Side Damage, Impact Heavy - Right Side, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970364/2012-mazda-axela-sedan?referringPage=SearchResults
Subaru,Impreza,No,$500,"184,662",0," Has Key, Rear Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970373/2010-subaru-impreza-sedan?referringPage=SearchResults
Honda,Civic,No,$600,"94,021",0," Left Rear Damage, Impact Medium - Left Side, Airbags Deployed, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970374/2014-honda-civic-ln-2-0p-5at-sl-4dr--sedan?referringPage=SearchResults
Subaru,Legacy,No,$300,N/A,0," Airbags Deployed, Left Rear Damage, Right Front Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970376/2007-subaru-legacy-station-wagon?referringPage=SearchResults
Toyota,Hilux,No,N/A,1,0," Rolled, Water Damage, Selling De-Registered","5spd Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006970379/2007-toyota-hilux-3-0td-4wd-sr5-dcu-5-dual-cab-utility?referringPage=SearchResults
Suzuki,GSX650F,No,$0,"34,562",1," Front Damage, Right Side Damage, Impact Medium - Right Side, Selling De-Registered","Manual,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970400/2010-suzuki-gsx650f-motorcycle?referringPage=SearchResults
Mercedes-Benz,A170,No,$600,N/A,1," Impact Medium - Front, Impact Medium - Left Side, Impact Light - Right Side, Suspension Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970421/2007-mercedes-benz-a170-hatch?referringPage=SearchResults
Mitsubishi,Outlander,No,$650,N/A,0," Airbags Deployed, Front Damage, Impact Heavy - Front, Impact Light - Left Side, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970423/2006-mitsubishi-outlander-station-wagon?referringPage=SearchResults
Husqvarna,TE,No,$0,"5,042",1," Engine Damage, Interior Damage, Left Side Damage, Right Rear Damage, Selling De-Registered",N/A,N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006960424/2008-husqvarna-te-450-motorcycle?referringPage=SearchResults
Sterling,Emerald,No,"$7,550",N/A,0," Chassis Damage, Front Damage, Has Key",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006950444/2010-sterling-emerald-caravan?referringPage=SearchResults
Suzuki,Swift,No,$600,"157,218",2," Front Damage, Left Side Damage, Impact Light - Front, Impact Light - Left Side, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970472/2006-suzuki-swift-glxha2-1-5-5dr-hatch?referringPage=SearchResults
Subaru,Impreza,No,$500,"222,688",1," Left Rear Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970509/2009-subaru-impreza-hatch?referringPage=SearchResults
Daihatsu,Sirion,No,$500,N/A,1," Interior Damage, Water Damage, Selling De-Registered","9spd Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970538/2005-daihatsu-sirion-1-3p-hatch-5m-hatch?referringPage=SearchResults
Land Rover,Discovery,No,N/A,"140,592",1," Airbags Deployed, Left Front Damage, Selling De-Registered","Automatic,",7,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006970546/2017-land-rover-discovery-td6-hse-3-0dt-4wd-station-wagon?referringPage=SearchResults
Subaru,Impreza,No,$300,"260,501",0," Interior Damage, Left Front Damage, Left Rear Damage, Stolen & Recovered, Selling De-Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970554/1997-subaru-impreza-impreza-gx-at-sedan-sedan?referringPage=SearchResults
Ford,Falcon,No,$600,"290,045",1," Left Rear Damage, Impact Heavy - Left Side, Selling De-Registered","6spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006970557/2008-ford-falcon-bf2-xr6-sedan-a-sedan?referringPage=SearchResults
