Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Nissan,Teana,No,$750,N/A,2," Front Damage, Right Side Damage, Impact Heavy - Front, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006820078/2006-nissan-teana-sedan?referringPage=SearchResults
Nissan,Atlas,No,$0,N/A,2," Front Damage, Impact Heavy - Front, Impact Heavy - Roof, Impact Heavy - Left Side, Selling De-Registered","Manual H/L,",3,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006780144/1995-nissan-atlas-flat-deck?referringPage=SearchResults
Nissan,Maxima,No,"$1,100",N/A,0," Front Damage, Impact Heavy - Front, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006810272/2010-nissan-maxima-250l-sedan?referringPage=SearchResults
PATCHELL,3SH,No,N/A,N/A,, Selling Registered,N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006620287/2003-patchell-3sh-mfea-log-trailer?referringPage=SearchResults
Honda,fit,Yes,$600,"161,611",1," Right Rear Damage, Right Side Damage, Impact Light - Left Side, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006820300/2004-honda-fit-hatch?referringPage=SearchResults
Nissan,Pulsar,No,"$1,250","73,189",1," Right Front Damage, Impact Heavy - Front, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006800350/2014-nissan-pulsar-ti-sedan?referringPage=SearchResults
Nissan,March,Yes,"$1,050","166,892",," Drives, No Major Panel Dmg, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006810432/2004-nissan-march-hatch?referringPage=SearchResults
Mitsubishi,ASX,No,$800,N/A,0," Airbags Deployed, Front Damage, Rear Damage, Impact Heavy - Entire Vehicle, Selling De-Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006800462/2016-mitsubishi-asx-xls-2-0p-cvt-sw-5dr-station-wagon?referringPage=SearchResults
BAILEY,ranger 500-5 front window,No,$0,N/A,0," Glass Broken, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006690461/2008-bailey-ranger-500-5-front-window-caravn-windscreen-only?referringPage=SearchResults
Nissan,Bluebird,No,$750,N/A,1," Engine Damage, Right Front Damage, Impact Heavy - Front, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006820488/2006-nissan-bluebird-sylphy-sedan?referringPage=SearchResults
Holden,Commodore,No,$850,N/A,0," Water Damage, Selling De-Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006710514/2006-holden-commodore-calais-sedan-v6-aut-sedan?referringPage=SearchResults
Honda,Odyssey,No,$750,"76,300",1," Left Rear Damage, Left Side Damage, Rear Damage, Impact Heavy - Rear, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006820622/2011-honda-odyssey-station-wagon?referringPage=SearchResults
Volkswagen,Golf,No,$900,N/A,1," Water Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006820693/2006-volkswagen-golf-gti-hatch?referringPage=SearchResults
Nissan,Tiida,No,$600,"155,316",1," Right Side Damage, Impact Medium - Right Side, Selling De-Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006820698/2005-nissan-tiida-hatch?referringPage=SearchResults
Mazda,CX-5,No,$750,N/A,, Selling De-Registered,N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006820734/2020-mazda-cx-5-gsx-ptr-2-5p-4wd-6a-station-wagon?referringPage=SearchResults
Ford,Kuga,No,"$1,250",N/A,1," Left Side Damage, Impact Heavy - Rear, Vandalised - Interior, Selling De-Registered","6spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006730739/2016-ford-kuga-ambiente-awd-petrol-station-wagon?referringPage=SearchResults
Mazda,Axela,No,$600,N/A,0," Front Damage, Impact Medium - Front, Impact Medium - Right Side, Selling De-Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006820851/2011-mazda-axela-hatch?referringPage=SearchResults
Honda,Odyssey,No,$250,"245,557",1," Right Side Damage, Impact Heavy - Right Side, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006820859/1996-honda-odyssey-station-wagon?referringPage=SearchResults
Toyota,Aqua,No,$800,N/A,1," Front Damage, Impact Heavy - Front, Selling De-Registered",N/A,5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000006810864/2012-toyota-aqua-hybrid-hatch?referringPage=SearchResults
Nissan,Tiida,No,$500,"90,704",1," Rear Damage, Impact Heavy - Rear, Impact Medium - Right Side, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006810875/2005-nissan-tiida-hatch?referringPage=SearchResults
Subaru,Legacy,No,$600,N/A,0," Engine Damage, Interior Damage, Water Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006810877/2003-subaru-legacy-station-wagon?referringPage=SearchResults
Mazda,MAZDA6,No,$500,N/A,0," Rear Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006820872/2005-mazda-mazda6-sedan-glx-2-0-auto-sedan?referringPage=SearchResults
Suzuki,Swift,No,$600,N/A,1," Airbags Deployed, Front Damage, Right Side Damage, Impact Heavy - Front, Impact Heavy - Right Side, Airbags Deployed, Suspension Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006780870/2016-suzuki-swift-idling-stop-hatch?referringPage=SearchResults
Mazda,Demio,Yes,$750,N/A,1," Front Damage, Interior Damage, Ignition Damage, Left Front Damage, Left Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006810881/2005-mazda-demio-hatch?referringPage=SearchResults
