Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Suzuki,Swift,No,$0,"69,654",1," Rear Damage, Right Front Damage, Impact Heavy - Rear, Impact Medium - Front, Impact Light - Right Side, Selling De-Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006640001/2018-suzuki-swift-glc-1-2p-cvt-hatch?referringPage=SearchResults
Mazda,Demio,No,$0,"82,043",1," Interior Damage, Water Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006680050/1997-mazda-demio-hatchback-5-dr-1-5-hatch?referringPage=SearchResults
Isuzu,D-max,No,$0,"213,075",1," Airbags Deployed, Front Damage, Roof Damage, Impact Heavy - Front, Impact Heavy - Roof, Airbags Deployed, Selling De-Registered","Manual,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006680076/2018-isuzu-d-max-lx-dc-3-0d-4wd-6mt-dual-cab-utility?referringPage=SearchResults
Mazda,Axela,No,$400,"150,727",0," Glass Broken, Left Front Damage, Left Rear Damage, Left Side Damage, Roof Damage, Right Front Damage, Rolled, Right Rear Damage, Right Side Damage, Impact Heavy - Front, Salt Water Damage, Water Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006670073/2005-mazda-axela-hatch?referringPage=SearchResults
Mazda,MAZDA2,Yes,$0,"252,751",0," Left Side Damage, Malicious/Vandalised, Roof Damage, Right Side Damage, Vandalised - Entire Vehicle, Impact Light - Rear, Impact Light - Roof, Selling Registered","5spd Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006640086/2010-mazda-mazda2-classic-5dr-1-5-m5-hatch?referringPage=SearchResults
Ford,Falcon,No,$0,"279,763",2," Front Damage, Left Side Damage, Impact Medium - Left Side, Selling De-Registered","6spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006700101/2006-ford-falcon-bf-falcon-xr6-a-sedan?referringPage=SearchResults
Hyundai,ix35,No,$0,"58,172",0," Water Damage, Selling De-Registered","6spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006640118/2015-hyundai-ix35-gdi2-0elite6a-2-0p6-station-wagon?referringPage=SearchResults
Ford,Falcon,No,N/A,"206,769",, Selling De-Registered,"6spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006670138/2008-ford-falcon-fg-xr6-sedan-a-4d-sedan?referringPage=SearchResults
Toyota,Corolla,No,$300,"156,358",1," Front Damage, Impact Heavy - Front, Impact Light - Rear, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006640169/2005-toyota-corolla-runx-station-wagon?referringPage=SearchResults
Steelbro,5 Axle,No,N/A,N/A,, Selling Registered,N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006540197/1994-steelbro-5-axle-mcjla-b-train?referringPage=SearchResults
Suzuki,Swift,No,$500,"154,467",1," Front Damage, Impact Light - Front, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006660207/2006-suzuki-swift-hatch?referringPage=SearchResults
Steelbro,5 Axle,No,N/A,N/A,, Selling Registered,N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006540220/1994-steelbro-5-axle-mcjla-b-train?referringPage=SearchResults
Mazda,Demio,No,$200,"130,951",1," Glass Broken, Interior Damage, Left Rear Damage, Rear Damage, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006680220/2011-mazda-demio-hatch?referringPage=SearchResults
