Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Ford,Transit,No,"$1,500","225,323",1," Engine Damage, Front Damage, Airbags Deployed, Structural Damage, Transmission Failure, Selling De-Registered","Manual,",9,N/A,https://manheim.co.nz/damaged-vehicles/000000000007080010/2013-ford-transit-lwb-van-station-wagon?referringPage=SearchResults
Nissan,Pathfinder,Yes,"$1,550",N/A,, Selling Registered,"5spd Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007090053/2005-nissan-pathfinder-4-0-4wd-ti-auto-station-wagon?referringPage=SearchResults
BAILEY,Pageant,No,"$2,450",N/A,0," Right Rear Damage, Structural Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007090084/2002-bailey-pageant-caravan?referringPage=SearchResults
Peugeot,3008,No,$0,"159,533",1," Airbags Deployed, Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007100082/2012-peugeot-3008-touring?referringPage=SearchResults
Suzuki,Swift,No,$0,"148,767",1," Front Damage, Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007100084/2013-suzuki-swift-hatch?referringPage=SearchResults
Volkswagen,Golf,No,$700,"147,604",1," Engine Damage, Underbody Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007090106/2007-volkswagen-golf-2-0-fsi-plus-hatch?referringPage=SearchResults
Kawasaki,ex,Yes,$0,"15,174",1, Selling Registered,"Automatic,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007090117/2020-kawasaki-ex-400glf-motorcycle?referringPage=SearchResults
Suzuki,King,No,$0,N/A,0," Fire Damage, Structural Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007100115/2014-suzuki-king-quad-bike?referringPage=SearchResults
Audi,Q7,No,N/A,N/A,0," Airbags Deployed, Front Damage, Right Front Damage, Airbags Deployed, Underbody Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",7,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007090120/2015-audi-q7-q7-3-0tdi-q-tip-150-station-wagon?referringPage=SearchResults
Nissan,Cube,No,$0,N/A,0," Roof Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007100155/2003-nissan-cube-station-wagon?referringPage=SearchResults
