Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Honda,CBR1000,Yes,$0,"44,901",1," Front Damage, Selling Registered","Manual,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007130025/2010-honda-cbr1000-rr-motorcycle?referringPage=SearchResults
Volkswagen,Golf,No,N/A,"133,069",," Drives, Has Key, Selling Registered","Tiptronic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007110046/2007-volkswagen-golf-5d-hatch?referringPage=SearchResults
Volkswagen,Tiguan,No,N/A,"172,933",," Drives, Has Key, Selling Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007110059/2009-volkswagen-tiguan-3d-hatch?referringPage=SearchResults
BMW,X5,Yes,$0,N/A,2," Right Rear Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007130102/2002-bmw-x5-touring?referringPage=SearchResults
Mazda,CX-5,No,$0,N/A,," No Keys, Selling Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007100117/2013-mazda-cx-5-station-wagon?referringPage=SearchResults
Isuzu,D-max,No,N/A,"45,270",," Drives, Has Key, Selling Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007120168/2021-isuzu-d-max-ls-double-cab-2wd-3-4d-x-cab-utility?referringPage=SearchResults
TRAILER,and Jetboat,No,$0,N/A,0," Fire Damage Engine, Selling Registered",N/A,N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007120182/1967-trailer-and-jetboat-monaro-boat---trailer?referringPage=SearchResults
Subaru,Forester,Yes,$0,N/A,0," Ignition Damage, Right Front Damage, Dismantled - Interior, Stolen & Recovered, Stolen & Stripped, Selling Registered","5spd Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007120189/2005-subaru-forester-station-wagon?referringPage=SearchResults
Toyota,Corolla,Yes,$0,"184,175",1," Rear Damage, Right Rear Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007120210/1998-toyota-corolla-sedan?referringPage=SearchResults
Nissan,March,Yes,$0,"174,752",0," Glass Broken, Ignition Damage, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007120227/2005-nissan-march-hatch?referringPage=SearchResults
Toyota,Yaris,No,$0,N/A,0," Front Damage, Glass Broken, Structural Damage, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007100294/2015-toyota-yaris-sx-hatch?referringPage=SearchResults
CARAVAN,Bailey,No,$0,N/A,0," Front Damage, Left Side Damage, Under Body Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007110383/2009-caravan-bailey-caravan?referringPage=SearchResults
Jayco,Heritage,No,"$3,050",N/A,0," Right Front Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007110387/2002-jayco-heritage-caravan?referringPage=SearchResults
Mitsubishi,Colt,No,$0,"196,473",1," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007110389/2007-mitsubishi-colt-hatch?referringPage=SearchResults
Ford,Ranger,No,$0,N/A,0," Rolled, Airbags Deployed, Structural Damage, Selling De-Registered","Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007080439/2022-ford-ranger-utility?referringPage=SearchResults
Toyota,Corolla,No,N/A,N/A,1," Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007120435/2018-toyota-corolla-axio-sedan?referringPage=SearchResults
Ford,Mondeo,No,$0,"141,020",1," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007120470/2016-ford-mondeo-trend-5dr-petrol-2--hatch?referringPage=SearchResults
Mitsubishi,Colt,Yes,$0,"115,521",0," Front Damage, Interior Damage, Left Front Damage, Right Side Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007120476/2010-mitsubishi-colt-hatch?referringPage=SearchResults
Toyota,Hilux,No,N/A,"253,869",," Has Key, Selling Registered","5spd Manual,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007100483/2010-toyota-hilux-3-0td-2wd-dc-5m-dual-cab-chassis?referringPage=SearchResults
Toyota,Hilux,No,$0,"147,175",1," Left Front Damage, Rear Damage, Right Front Damage, Right Side Damage, Airbags Deployed, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007120499/1996-toyota-hilux-surf-station-wagon?referringPage=SearchResults
Subaru,Impreza,Yes,N/A,N/A,0," Glass Broken, Ignition Damage, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007110534/2016-subaru-impreza-hatch?referringPage=SearchResults
Toyota,Aqua,No,$0,"126,900",0," Front Damage, Ignition Damage, Left Side Damage, Rear Damage, Right Side Damage, Structural Damage, Stolen & Recovered, Selling De-Registered","5spd Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007110536/2017-toyota-aqua-hatch?referringPage=SearchResults
Volkswagen,Amarok,Yes,N/A,"342,295",1," Right Front Damage, Selling Registered","Manual,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007110538/2011-volkswagen-amarok-dc-4m-400-hl-utility?referringPage=SearchResults
Mazda,Axela,No,N/A,N/A,," Not Driveable, No Keys, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007110560/2014-mazda-axela-sedan?referringPage=SearchResults
Subaru,XV,No,$0,"157,064",1," Left Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007070589/2013-subaru-xv-hybrid-station-wagon?referringPage=SearchResults
Holden,Cruze,No,N/A,"175,281",," Drives, Has Key, Selling Registered","6spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007110611/2016-holden-cruze-equipe-1-8p-6at-ha--4d-hatch?referringPage=SearchResults
Toyota,Highlander,No,N/A,"148,282",," Drives, Has Key, Selling Registered","6spd Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007120653/2016-toyota-highlander-gxl-3-5p-4wd-6at-sw-5d-station-wagon?referringPage=SearchResults
Holden,Commodore,No,N/A,"76,613",0," Left Side Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007120730/2018-holden-commodore-vf2-sv6-3-6p-6at-sedan?referringPage=SearchResults
Toyota,Aqua,No,$0,"180,214",1," Right Rear Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007120802/2017-toyota-aqua-hatch?referringPage=SearchResults
Toyota,Camry,No,N/A,N/A,1," Front Damage, Left Rear Damage, Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007120842/2013-toyota-camry-sedan?referringPage=SearchResults
Volkswagen,Golf,No,$0,N/A,0," Airbags Deployed, Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007110889/2009-volkswagen-golf-gti-hatch?referringPage=SearchResults
Mercedes-Benz,ML 250,No,$0,N/A,0," Fire - Entire Vehicle, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007110893/2013-mercedes-benz-ml-250-250-blue-tec-station-wagon?referringPage=SearchResults
Toyota,Corolla,No,N/A,"20,727",1," Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007120921/2022-toyota-corolla-zr-1-8ph-cvt-hatch?referringPage=SearchResults
Honda,CRV,No,$0,N/A,0," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007120922/2007-honda-crv-station-wagon?referringPage=SearchResults
Citroen,C3,No,$0,"53,418",1," Right Front Damage, Right Side Damage, Structural Damage, Selling De-Registered","6spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007110943/2021-citroen-c3-shine-1-2pt-6at-hatch?referringPage=SearchResults
Ford,Ranger,No,N/A,"129,547",," Drives, Has Key, Selling Registered","6spd Manual,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007110993/2017-ford-ranger-xl-double-cab-w-s-3-4d-dual-cab-utility?referringPage=SearchResults
BMW,4 Series,No,N/A,"47,352",," Drives, Has Key, Selling Registered","8spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007111004/2019-bmw-4-series-430i-2-0pt-8at-sl-5d-sedan-saloon?referringPage=SearchResults
Toyota,Vitz,Yes,$0,N/A,0," Vandalised - Interior, Stolen & Recovered, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007111011/2002-toyota-vitz-hatch?referringPage=SearchResults
Mazda,CX-5,No,N/A,N/A,1," Right Side Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007111037/2018-mazda-cx-5-gsx-ptr-2-0p-6at-station-wagon?referringPage=SearchResults
Toyota,Hilux,No,$0,"344,651",1," Chassis Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007111143/1997-toyota-hilux-surf-ssr-g-station-wagon?referringPage=SearchResults
Toyota,Hilux,No,N/A,"165,172",," Drives, Has Key, Selling Registered","6spd Manual,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007111159/2018-toyota-hilux-sr-td-dc-2-8d-4wd-6-4d-dual-cab-utility?referringPage=SearchResults
Mazda,CX-5,No,$0,"236,016",1," Chassis Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007121176/2013-mazda-cx-5-station-wagon?referringPage=SearchResults
KTM,250 Xc-f,No,$0,N/A,0," Engine Damage, Dismantled - Entire Vehicle, Water Damage, Selling De-Registered","Manual,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007121178/2018-ktm-250-xc-f-motorcycle?referringPage=SearchResults
Toyota,Avensis,Yes,$0,"151,288",2," Front Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007121235/2006-toyota-avensis-station-wagon?referringPage=SearchResults
CARAVAN,Hymer Eriba Nova 545,No,"$2,550",N/A,0," Left Side Damage, Structural Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007121238/2006-caravan-hymer-eriba-nova-545-caravan?referringPage=SearchResults
Honda,Airwave,No,$0,"139,075",1," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007121239/2008-honda-airwave-station-wagon?referringPage=SearchResults
CLAAS,3500 Contour Mower,No,$600,N/A,0," Structural Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007121240/2009-claas-3500-contour-mower-mower?referringPage=SearchResults
Honda,Jazz,No,$0,"144,329",1," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007121244/2011-honda-jazz-1-5s-hatch?referringPage=SearchResults
Toyota,Dyna,No,"$1,300","57,294",1," Front Damage, Structural Damage, Selling De-Registered","5spd Manual,",3,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007121248/1996-toyota-dyna-bu212-flat-deck?referringPage=SearchResults
Volkswagen,Golf,No,$0,N/A,1," Left Side Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007121318/2004-volkswagen-golf-hatch?referringPage=SearchResults
NEW Holland,TN95FA,No,"$2,440",N/A,0," Rolled, Structural Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007101363/2003-new-holland-tn95fa-tractor---fel?referringPage=SearchResults
Honda,Civic,No,$0,"122,678",0," Engine Damage, Left Side Damage, Airbags Deployed, Underbody Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007121391/2006-honda-civic-sedan?referringPage=SearchResults
Suzuki,Swift,No,$0,"190,856",1," Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007121451/2005-suzuki-swift-hatch?referringPage=SearchResults
Honda,Civic,No,$0,N/A,1," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007121561/2006-honda-civic-hybrid-sedan?referringPage=SearchResults
