Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Nissan,March,No,$900,"59,115",1," Left Side Damage, Rear Damage, Impact Heavy - Rear, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006850001/2017-nissan-march-hatch?referringPage=SearchResults
Toyota,Ractis,No,$600,"104,553",1," Front Damage, Impact Heavy - Front, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006850003/2007-toyota-ractis-hatch?referringPage=SearchResults
Honda,Accord,No,$950,N/A,1," Left Rear Damage, Impact Heavy - Left Side, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006850013/2009-honda-accord-station-wagon?referringPage=SearchResults
Mazda,Demio,No,$0,"98,403",1," Impact Heavy - Right Side, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006850017/2011-mazda-demio-hatch?referringPage=SearchResults
Toyota,Corolla,Yes,$500,"334,850",1," Rear Damage, Right Rear Damage, Right Side Damage, Impact Heavy - Left Side, Selling Registered","5spd Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006850025/2001-toyota-corolla-1-6p-xl-hatchback-5-hatch?referringPage=SearchResults
Subaru,Forester,No,$500,"120,640",1," Right Rear Damage, Impact Heavy - Rear, Impact Heavy - Right Side, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006820039/2009-subaru-forester-station-wagon?referringPage=SearchResults
LDV,V80,No,N/A,"167,054",1," Front Damage, Selling De-Registered","Automatic,",3,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006840077/2016-ldv-v80-big-amt-2-5d-6am-lv-van?referringPage=SearchResults
Ford,Kuga,No,$500,"208,699",0," Front Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006840172/2011-ford-kuga-station-wagon?referringPage=SearchResults
Nissan,Tiida,No,$500,"117,949",0," Chassis Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006830341/2004-nissan-tiida-hatch?referringPage=SearchResults
Hyundai,I30,No,$500,"140,900",1," Left Front Damage, Impact Heavy - Left Side, Selling De-Registered","5spd Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006830390/2010-hyundai-i30-1-6-5d-m5-hatch?referringPage=SearchResults
