Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Toyota,Corolla,No,$200,N/A,0," Front Damage, Selling De-Registered","5spd Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006750017/2007-toyota-corolla-1-8p-gl-hatch5-5m-hatch?referringPage=SearchResults
Holden,Astra,Yes,$575,"147,262",1," Left Front Damage, Impact Medium - Front, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006780026/2002-holden-astra-cd-hatch-1-8l-auto-hatch?referringPage=SearchResults
Jaguar,XF,No,N/A,N/A,0," Water Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006620026/2011-jaguar-xf-sedan?referringPage=SearchResults
Audi,Q7,No,N/A,"112,803",0," Rear Damage, Impact Heavy - Rear, Selling De-Registered","Automatic,",7,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006780039/2016-audi-q7-q7-3-0-tdi-q-tip-3--station-wagon?referringPage=SearchResults
Mazda,Demio,No,$300,"152,454",1," Front Damage, Impact Medium - Front, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006780044/2004-mazda-demio-hatch?referringPage=SearchResults
Toyota,Yaris,No,$0,"98,494",1," Rear Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006680043/2008-toyota-yaris-1-3p-hatch5-4a-hatch?referringPage=SearchResults
Suzuki,Swift,No,$375,"183,055",1," Left Front Damage, Impact Medium - Front, Airbags Deployed, Impact Light - Left Side, Selling De-Registered","5spd Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006760070/2009-suzuki-swift-hatch-1-6-5dr-sport-hatch?referringPage=SearchResults
Mazda,CX-5,Yes,N/A,N/A,0," Glass Broken, Interior Damage, Ignition Damage, Stolen & Recovered, Selling Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006780086/2014-mazda-cx-5-station-wagon?referringPage=SearchResults
TASMAN,Dingy,No,$200,N/A,0," Stolen & Recovered, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006770092/tasman-dingy-boat---outboard?referringPage=SearchResults
Mazda,Demio,Yes,$725,"191,812",1," Front Damage, Ignition Damage, Missing Radio Tape, Rear Damage, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006770096/2000-mazda-demio-hatch?referringPage=SearchResults
