Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Nissan,March,No,$0,"59,115",1," Left Side Damage, Rear Damage, Impact Heavy - Rear, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006850001/2017-nissan-march-hatch?referringPage=SearchResults
Toyota,Ractis,No,$0,"104,553",1," Front Damage, Impact Heavy - Front, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006850003/2007-toyota-ractis-hatch?referringPage=SearchResults
Honda,Accord,No,$0,N/A,1," Left Rear Damage, Impact Heavy - Left Side, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006850013/2009-honda-accord-station-wagon?referringPage=SearchResults
Toyota,Corolla,Yes,$0,"334,850",1," Rear Damage, Right Rear Damage, Right Side Damage, Impact Heavy - Left Side, Selling Registered","5spd Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006850025/2001-toyota-corolla-1-6p-xl-hatchback-5-hatch?referringPage=SearchResults
Subaru,Forester,No,$0,"120,640",1," Right Rear Damage, Impact Heavy - Rear, Impact Heavy - Right Side, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006820039/2009-subaru-forester-station-wagon?referringPage=SearchResults
MIRAGE,480 Hyperactive,No,"$2,000",N/A,0, Selling De-Registered,N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006790178/1993-mirage-480-hyperactive-trailer--boat-?referringPage=SearchResults
Nissan,Tiida,No,$0,"117,949",0," Chassis Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006830341/2004-nissan-tiida-hatch?referringPage=SearchResults
Hino,Ranger KC-FD2J-DBD,No,$730,N/A,0," Burnt 100%, Fire Damage, Selling De-Registered","Manual, Fuel Type, Diese",N/A,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006840458/1995-hino-ranger-kc-fd2j-dbd-truck?referringPage=SearchResults
Toyota,Camry,No,N/A,N/A,0," Right Rear Damage, Impact Heavy - Rear, Selling De-Registered","6spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006820483/2014-toyota-camry-gl-steel-2-5p-sdn-6-sedan?referringPage=SearchResults
Komatsu,WA100 Wheel Loader,No,$780,N/A,0," Burnt 100%, Fire Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000006840490/1997-komatsu-wa100-wheel-loader-loader?referringPage=SearchResults
Mitsubishi,Colt,Yes,$0,"212,285",0," Malicious/Vandalised, Vandalised - Interior, Impact Light - Rear, Impact Light - Left Side, Impact Light - Right Side, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006830519/2003-mitsubishi-colt-1-5p-sport-hatch-a-hatch?referringPage=SearchResults
Toyota,Hiace,No,N/A,N/A,0," Ignition Damage, Water Damage, Selling De-Registered","Automatic,",3,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006820544/2012-toyota-hiace-van?referringPage=SearchResults
Subaru,Outback,No,$400,"244,890",0," Front Damage, Right Front Damage, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006780556/2007-subaru-outback-wag-3-0r-aut-station-wagon?referringPage=SearchResults
Porsche,Cayenne S,No,N/A,"162,652",, Impact Light - Right Side,"6spd Tiptronic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006760671/2013-porsche-cayenne-s-4-2-v8-turbo-4d-station-wagon?referringPage=SearchResults
Nissan,X-trail,Yes,$0,N/A,0," Ignition Damage, Rear Damage, Impact Light - Rear, Impact Light - Left Side, Impact Light - Right Side, Stolen & Recovered, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006830717/2006-nissan-x-trail-station-wagon?referringPage=SearchResults
Great Wall,GWM Cannon,No,$0,"71,435",, Selling De-Registered,"8spd Tiptronic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006800736/2022-great-wall-gwm-cannon-luxury-4x4-2-0dt-4w-4d-dual-cab-utility?referringPage=SearchResults
