Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Toyota,Camry,No,"$1,300","256,314",0," Left Front Damage, Roof Damage, Impact Medium - Front, Impact Medium - Right Side, Selling De-Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006880002/2010-toyota-camry-2-4p-gl-sedan-5a-sedan?referringPage=SearchResults
Ford,Falcon,No,$700,"224,800",1," Ignition Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006880006/2007-ford-falcon-bf2-xr6-sedan-a-sedan?referringPage=SearchResults
Mazda,Demio,No,$0,N/A,0," Front Damage, Left Front Damage, Left Rear Damage, Rear Damage, Right Front Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006850035/2011-mazda-demio-hatch?referringPage=SearchResults
Daihatsu,Sirion,Yes,$0,"128,373",0," Front Damage, Impact Light - Front, Selling Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006880061/2003-daihatsu-sirion-sirion-1-3p-hatch-5-hatch?referringPage=SearchResults
BMW,320i,No,$750,"116,345",1," Left Front Damage, Left Side Damage, Rear Damage, Impact Heavy - Left Side, Selling De-Registered","6spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006880096/2010-bmw-320i-sedan?referringPage=SearchResults
Suzuki,GSX150,Yes,$0,N/A,1," Rear Damage, Impact Light - Left Side, Selling Registered",N/A,N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006880098/2022-suzuki-gsx150-fdf-gixxer-motorcycle?referringPage=SearchResults
Mazda,MAZDA3,No,$0,"66,792",0," Front Damage, Has Key, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006860188/2004-mazda-mazda3-sedan-gsx-2-0-sedan?referringPage=SearchResults
Honda,Logo,Yes,$0,"197,521",1," Impact Light - Front, Impact Light - Right Side, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006880208/2000-honda-logo-hatch?referringPage=SearchResults
Nissan,Tiida,No,$0,N/A,0," Ignition Damage, Rear Damage, Vandalised - Interior, Impact Medium - Rear, Impact Light - Front, Stolen & Recovered, Selling De-Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006880253/2011-nissan-tiida-latio-sedan?referringPage=SearchResults
BMW,S1000,No,$0,"11,263",0," Front Fork Damaged, Frame Damaged, Impact Medium - Right Side, Selling De-Registered","Manual,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870264/2018-bmw-s1000-rr-motorcycle?referringPage=SearchResults
Audi,A8,No,"$1,800","103,759",1," Front Damage, Impact Medium - Front, Selling De-Registered","6spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870270/2008-audi-a8-sedan?referringPage=SearchResults
Toyota,RAV4,No,N/A,N/A,1," Front Damage, Impact Heavy - Front, Airbags Deployed, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000006870274/2023-toyota-rav4-gx-2-5ph-4wd-hd-station-wagon?referringPage=SearchResults
FORZA,Ciclone,No,$0,"2,412",0," Front Damage, Selling Registered","Automatic,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006870275/2022-forza-ciclone-scooter?referringPage=SearchResults
Volvo,FH16,No,"$1,000","1,804,561",, Selling Registered,"Automatic,",2,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006830345/2013-volvo-fh16-600-6x4t-tractor-unit?referringPage=SearchResults
Nissan,Wingroad,No,$0,N/A,0," Right Side Damage, Impact Heavy - Left Side, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006880355/2003-nissan-wingroad-station-wagon?referringPage=SearchResults
Toyota,Prius,No,"$1,050","338,520",1," Rear Damage, Impact Medium - Rear, Selling De-Registered",N/A,5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000006880380/2012-toyota-prius-hatch?referringPage=SearchResults
Mazda,CX-5,No,$800,N/A,0," Airbags Deployed, Left Front Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006860383/2016-mazda-cx-5-gsx-station-wagon?referringPage=SearchResults
