Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Nissan,Pathfinder,Yes,N/A,N/A,, Selling Registered,"5spd Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007090053/2005-nissan-pathfinder-4-0-4wd-ti-auto-station-wagon?referringPage=SearchResults
Mazda,CX-8,No,N/A,"205,370",," Right Front Damage, Selling De-Registered",N/A,7,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007110054/2018-mazda-cx-8-gsx-dsl-2-2dt-4wd-station-wagon?referringPage=SearchResults
Hyundai,I30,No,$0,N/A,1," Front Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007080109/2014-hyundai-i30-hatch?referringPage=SearchResults
Audi,Q7,No,N/A,N/A,0," Airbags Deployed, Front Damage, Right Front Damage, Airbags Deployed, Underbody Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",7,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007090120/2015-audi-q7-q7-3-0tdi-q-tip-150-station-wagon?referringPage=SearchResults
Toyota,Hilux,No,N/A,N/A,0," Right Rear Damage, Vandalised - Entire Vehicle, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007100310/2020-toyota-hilux-wm-dc-2-7p-6at-dual-cab-utility?referringPage=SearchResults
Toyota,Corolla,No,N/A,N/A,," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007110354/2024-toyota-corolla-gx-1-8ph-hd-hatch?referringPage=SearchResults
Nissan,Navara,No,$0,"380,106",1," Front Damage, Left Front Damage, Structural Damage, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007110376/2001-nissan-navara-2-4-2wd-d-cabws-ven-utility?referringPage=SearchResults
Toyota,Corolla,No,$0,N/A,0," Ignition Damage, Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007110378/2014-toyota-corolla-fielder-hybrid-station-wagon?referringPage=SearchResults
Toyota,Hilux,No,N/A,N/A,0," Engine Damage, Interior Damage, Water Damage, Selling De-Registered","5spd Manual,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007110401/2013-toyota-hilux-4wd-3-0td-dc-ute-5m-utility?referringPage=SearchResults
Kia,Stinger,No,N/A,"42,572",1," Roof Damage, Right Front Damage, Right Side Damage, Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007110411/2021-kia-stinger-gt-sport-3-3pt-sedan?referringPage=SearchResults
Ssangyong,Rhino,No,N/A,N/A,0," Left Rear Damage, Rear Damage, Right Rear Damage, Underbody Damage, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007110413/2020-ssangyong-rhino-diesel-auto-4wd-2-2-utility?referringPage=SearchResults
Holden,Commodore,No,N/A,"161,536",1," Chassis Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007110421/2006-holden-commodore-ss-auto-sedan?referringPage=SearchResults
Toyota,Passo,No,$0,"129,029",2," Left Front Damage, Left Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007100443/2015-toyota-passo-hatch?referringPage=SearchResults
Toyota,Prius Hybrid,No,N/A,N/A,0," Chassis Damage, Front Damage, Glass Broken, Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007100454/2019-toyota-prius-hybrid-hatch?referringPage=SearchResults
Land Rover,Range Rover Sport,No,N/A,"70,428",1," Engine Damage, Fresh Water Damage, Interior Damage, Water Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007100465/2011-land-rover-range-rover-sport-station-wagon?referringPage=SearchResults
Mitsubishi,Triton,No,N/A,"106,613",0," Chassis Damage, Front Damage, Left Front Damage, Right Front Damage, Underbody Damage, Structural Damage, Suspension Damage, Selling De-Registered","6spd Manual,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007100482/2019-mitsubishi-triton-dc-glxr-4wd-6m-2-4d-utility?referringPage=SearchResults
Toyota,Corolla,No,N/A,"38,183",, Selling Registered,"CVT,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007100484/2019-toyota-corolla-5d-hatch?referringPage=SearchResults
Nissan,Note,No,$0,"117,456",1," Left Rear Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007100488/2017-nissan-note-e-power-medalist-hatch?referringPage=SearchResults
Mercedes-Benz,ML350,No,N/A,"205,113",, Selling Registered,"7spd Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007100492/2013-mercedes-benz-ml350-5d-station-wagon?referringPage=SearchResults
Mazda,BT-50,No,N/A,"220,578",1," Airbags Deployed, Front Damage, Structural Damage, Selling De-Registered","5spd Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007110580/2014-mazda-bt-50-4wd-gsx-d-c-w-s-6at-dual-cab-utility?referringPage=SearchResults
