Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Toyota,Funcargo,No,$500,1,0," Front Damage, Selling De-Registered","Automatic,",4,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006720026/1999-toyota-funcargo-1-3x-s-package-hatch?referringPage=SearchResults
TRACTOR GOLDONI,Star,No,N/A,N/A,0," Interior Damage, Water Damage, Selling De-Registered","Automatic, Drive Type, 6x4, Fuel Type, Diese",N/A,Diesel,https://manheim.co.nz/damaged-vehicles/000000000006700058/2011-tractor-goldoni-star-tractor?referringPage=SearchResults
Suzuki,Swift,No,$675,"46,192",1," Left Rear Damage, Right Rear Damage, Impact Heavy - Rear, Selling De-Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006670075/2011-suzuki-swift-hatch?referringPage=SearchResults
Mercedes-Benz,A-class,No,N/A,"15,702",1," Front Damage, Glass Broken, Left Side Damage, Impact Heavy - Front, Impact Heavy - Rear, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006670077/2021-mercedes-benz-a-class-sedan?referringPage=SearchResults
Holden,Astra,No,$675,"192,250",0," Front Damage, Right Front Damage, Impact Heavy - Front, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006740071/2007-holden-astra-cd-hatch-5dr-auto-hatch?referringPage=SearchResults
BMW,318i,No,$675,"150,605",0," Engine Damage, Left Front Damage, Right Front Damage, Impact Heavy - Front, Airbags Deployed, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006740073/2000-bmw-318i-sedan?referringPage=SearchResults
MINI,Cooper,No,$500,"115,547",1," Rear Damage, Impact Medium - Rear, Selling De-Registered","Automatic,",4,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006730087/2011-mini-cooper-hatch-6a-2dr-1-6l-hatch?referringPage=SearchResults
Mitsubishi,Galant,No,$775,"187,540",0," Front Damage, Impact Heavy - Front, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006740124/2007-mitsubishi-galant-sedan?referringPage=SearchResults
Toyota,Vitz,No,$300,"172,367",1," Left Rear Damage, Left Side Damage, Selling De-Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006740126/2004-toyota-vitz-hatch?referringPage=SearchResults
Kymco,UXV 450 Turf,No,$800,N/A,0," Front Damage, Impact Heavy - Front, Selling De-Registered","Automatic, Drive Type, 4x2, Fuel Type, Petro",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006700131/2019-kymco-uxv-450-turf-quad-bike?referringPage=SearchResults
Honda,Integra,Yes,$425,"166,619",0," Ignition Damage, Right Side Damage, Stolen & Recovered, Selling Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006740132/1990-honda-integra-coup%C3%A9?referringPage=SearchResults
Hyundai,I30,No,$0,"306,548",1," Left Side Damage, Impact Heavy - Left Side, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006700146/2009-hyundai-i30-1-6-a4-sedan?referringPage=SearchResults
Toyota,Corolla,No,$400,"82,878",0," Glass Broken, Ignition Damage, Left Side Damage, Stolen & Recovered, Selling De-Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006700154/2011-toyota-corolla-station-wagon?referringPage=SearchResults
Honda,Crossroad,Yes,$850,N/A,0," Front Damage, Rear Damage, Right Rear Damage, Impact Medium - Right Side, Stolen & Recovered, Selling Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006710155/2007-honda-crossroad-station-wagon?referringPage=SearchResults
Honda,fit,No,$500,"180,026",0," Front Damage, Left Front Damage, Impact Heavy - Front, Impact Heavy - Right Side, Airbags Deployed, Selling De-Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000006720172/2008-honda-fit-hatch?referringPage=SearchResults
